;VIP = 1133, 49685
;Bit_Value_At_On_Position	Bit_Report_Number	Control/Meaning
;Digitals
0000 0000 0000 0000 0000 0000 0000 0001	4	1(Trigger on back of stick)
0000 0000 0000 0000 0000 0000 0000 0010	4	2
0000 0000 0000 0000 0000 0000 0000 0100	4	3
0000 0000 0000 0000 0000 0000 0000 1000	4	4
0000 0000 0000 0000 0000 0000 0001 0000	4	5
0000 0000 0000 0000 0000 0000 0010 0000	4	6
0000 0000 0000 0000 0000 0000 0100 0000	4	7
0000 0000 0000 0000 0000 0000 1000 0000	4	8
0000 0000 0000 0000 0000 0000 0000 0001	6	9
0000 0000 0000 0000 0000 0000 0000 0010	6	10
0000 0000 0000 0000 0000 0000 0000 0100	6	11
0000 0000 0000 0000 0000 0000 0000 1000	6	12
0000 0000 0000 0000 0000 0000 1000 0000	2	D-PAD (NEUTRAL)
0000 0000 0000 0000 0000 0000 0010 0000	2	D-PAD (RIGHT)
0000 0000 0000 0000 0000 0000 0110 0000	2	D-PAD (LEFT)
0000 0000 0000 0000 0000 0000 0000 0000	2	D-PAD (UP)
0000 0000 0000 0000 0000 0000 0100 0000	2	D-PAD (DOWN)

;Analogs
0000 0000 0000 0000 0000 0000 0000 0000	5	+/- (MIN (AT +))
0000 0000 0000 0000 0000 0000 1111 1111	5	+/- (MAX (AT -))

0000 0000 0000 0000 0000 0000 0000 0000	1	Stick (MIN (FORWARD))
0000 0000 0000 0000 0000 0000 1111 1111	1	Stick (MAX (BACKWARD))
0000 0000 0000 0000 0000 0000 1111 1111	0	Stick (MAX (RIGHT))
0000 0000 0000 0000 0000 0000 0000 0000	0	Stick (MIN (LEFT))

0000 0000 0000 0000 0000 0000 1111 1111	3	Stick Handle (MAX (RIGHT))
0000 0000 0000 0000 0000 0000 0000 0000	3	Stick Handle (MIN (LEFT))
