;PS3 Wheel
;VID = 9571, PID = 2310
;Bit_Value_At_On_Position	Bit_Report_Number	Control/Meaning
0000 0000 0000 0000 0000 0000 0100 0000	4	X (X/Cross)
0000 0000 0000 0000 0000 0000 0010 0000	4	O (Circle)
0000 0000 0000 0000 0000 0000 1000 0000	4	□ (Square)
0000 0000 0000 0000 0000 0000 0001 0000	4	△ (Triangle)
0000 0000 0000 0000 0000 0000 0010 0000	5	Start
0000 0000 0000 0000 0000 0000 0001 0000	5	Select
0000 0000 0000 0000 0000 0000 0000 0010	5	R1
0000 0000 0000 0000 0000 0000 0000 1000	5	R2
0000 0000 0000 0000 0000 0000 0000 0001	5	L1
0000 0000 0000 0000 0000 0000 0000 0100	5	L2
0000 0000 0000 0000 0000 0000 0000 0000	4	D-Pad UP
0000 0000 0000 0000 0000 0000 0000 0100	4	D-Pad DOWN
0000 0000 0000 0000 0000 0000 0000 0010	4	D-Pad RIGHT
0000 0000 0000 0000 0000 0000 0000 0110	4	D-Pad LEFT
0000 0000 0000 0000 0000 0000 0000 1111	4	D-Pad Neutral
0000 0000 0000 0000 0000 0000 0000 1000	5	Gear Shift (Up)
0000 0000 0000 0000 0000 0000 0000 0100	5	Gear Shift (Down)

0000 0000 0000 0000 0000 0000 1111 1111	0	Wheel (Right)
0000 0000 0000 0000 0000 0000 0000 0000	0	Wheel (Left)
0000 0000 0000 0000 0000 0000 1000 0000	0	Wheel (Neutral)
0000 0000 0000 0000 0000 0000 0000 0000	1	Right Pedal Down
0000 0000 0000 0000 0000 0000 1111 1111	1	Left Pedal Down
0000 0000 0000 0000 0000 0000 1000 0000	1	Neutral/Both Pedals
