;PS2 Controller
;VID = 2064, PID = 1
;Bit_Value_At_On_Position	Bit_Report_Number	Control/Meaning
0000 0000 0000 0000 0000 0000 0000 0100	5	X (X/Cross)
0000 0000 0000 0000 0000 0000 0000 0010	5	O (Circle)
0000 0000 0000 0000 0000 0000 0000 1000	5	□ (Square)
0000 0000 0000 0000 0000 0000 0000 0001	5	△ (Triangle)
0000 0000 0000 0000 0000 0000 0010 0000	6	Start
0000 0000 0000 0000 0000 0000 0001 0000	6	Select
0000 0000 0000 0000 0000 0000 0000 1000	6	R1
0000 0000 0000 0000 0000 0000 0000 0010	6	R2
0000 0000 0000 0000 0000 0000 1000 0000	6	R3
0000 0000 0000 0000 0000 0000 0000 0100	6	L1
0000 0000 0000 0000 0000 0000 0000 0001	6	L2
0000 0000 0000 0000 0000 0000 0100 0000	6	L3
0000 0000 0000 0000 0000 0000 0000 0000	5	D-Pad UP
0000 0000 0000 0000 0000 0000 0000 0100	5	D-Pad DOWN
0000 0000 0000 0000 0000 0000 0000 0010	5	D-Pad RIGHT
0000 0000 0000 0000 0000 0000 0000 0110	5	D-Pad LEFT
0000 0000 0000 0000 0000 0000 0000 1111	5	D-Pad Neutral
0000 0000 0000 0000 0000 0000 0000 0101	5	D-Pad Left-Down
0000 0000 0000 0000 0000 0000 0000 0111	5	D-Pad Left-Up
0000 0000 0000 0000 0000 0000 0000 0011	5	D-Pad Right-Down
0000 0000 0000 0000 0000 0000 0000 0001	5	D-Pad Right-Up


0000 0000 0000 0000 0000 0000 0000 0000	4	Left Stick V UP
0000 0000 0000 0000 0000 0000 1111 1111	4	Left Stick V DOWN
0000 0000 0000 0000 0000 0000 1000 0000	4	Left Stick V Neutral
0000 0000 0000 0000 0000 0000 0000 0000	1	Right Stick V UP
0000 0000 0000 0000 0000 0000 1111 1111	1	Right Stick V DOWN
0000 0000 0000 0000 0000 0000 1000 0000	1	Right Stick V Neutral

0000 0000 0000 0000 0000 0000 0000 0000	3	Left Stick H LEFT
0000 0000 0000 0000 0000 0000 1111 1111	3	Left Stick H RIGHT
0000 0000 0000 0000 0000 0000 1000 0000	3	Left Stick H Neutral
0000 0000 0000 0000 0000 0000 0000 0000	2	Right Stick H LEFT
0000 0000 0000 0000 0000 0000 1111 1111	2	Right Stick H RIGHT
0000 0000 0000 0000 0000 0000 1000 0000	2	Right Stick H Neutral
