;PS3 Controller <3
;VID = 1356, PID = 616 (Wireless)
;VID = 3727, PID = 3 (Wired)
;Bit_Value_At_On_Position	Bit_Report_Number	Control/Meaning
0000 0000 0000 0000 0000 0000 0100 0000	5	X (X/Cross)
0000 0000 0000 0000 0000 0000 0010 0000	5	O (Circle)
0000 0000 0000 0000 0000 0000 1000 0000	5	□ (Square)
0000 0000 0000 0000 0000 0000 0001 0000	5	△ (Triangle)
0000 0000 0000 0000 0000 0000 0010 0000	6	Start
0000 0000 0000 0000 0000 0000 0001 0000	6	Select
0000 0000 0000 0000 0000 0000 0000 0010	6	R1
0000 0000 0000 0000 0000 0000 0000 1000	6	R2
0000 0000 0000 0000 0000 0000 1000 0000	6	R3
0000 0000 0000 0000 0000 0000 0000 0001	6	L1
0000 0000 0000 0000 0000 0000 0000 0100	6	L2
0000 0000 0000 0000 0000 0000 0100 0000	6	L3
0000 0000 0000 0000 0000 0000 0000 0000	5	D-Pad UP
0000 0000 0000 0000 0000 0000 0000 0001	7	D-Pad UP
0000 0000 0000 0000 0000 0000 0000 0100	5	D-Pad DOWN
0000 0000 0000 0000 0000 0000 0000 0100	7	D-Pad DOWN
0000 0000 0000 0000 0000 0000 0000 0010	5	D-Pad RIGHT
0000 0000 0000 0000 0000 0000 0000 0010	7	D-Pad RIGHT
0000 0000 0000 0000 0000 0000 0000 0110	5	D-Pad LEFT
0000 0000 0000 0000 0000 0000 0000 1000	7	D-Pad LEFT
0000 0000 0000 0000 0000 0000 0000 1111	5	D-Pad Neutral
0000 0000 0000 0000 0000 0000 0000 0000	7	D-Pad Neutral


0000 0000 0000 0000 0000 0000 0000 0000	3	Left Stick V(Min) (U)
0000 0000 0000 0000 0000 0000 1111 1111	3	Left Stick V(Max) (D)
0000 0000 0000 0000 0000 0000 0000 0000	2	Left Stick H(Min) (L)
0000 0000 0000 0000 0000 0000 1111 1111	2	Left Stick H(Max) (R)

0000 0000 0000 0000 0000 0000 0000 0000	1	Right Stick V(Min) (U)
0000 0000 0000 0000 0000 0000 1111 1111	1	Right Stick V(Max) (D)
0000 0000 0000 0000 0000 0000 0000 0000	0	Right Stick H(Min) (L)
0000 0000 0000 0000 0000 0000 1111 1111	0	Right Stick H(Max) (R)
