;PS4 Controller (Wireless)
;VID = 1356, PID = 1476
;Bit_Value_At_On_Position	Bit_Report_Number	Control/Meaning
0000 0000 0000 0000 0000 0000 0010 0000	5	X (X/Cross)
0000 0000 0000 0000 0000 0000 0100 0000	5	O (Circle)
0000 0000 0000 0000 0000 0000 0001 0000	5	□ (Square)
0000 0000 0000 0000 0000 0000 1000 0000	5	△ (Triangle)
0000 0000 0000 0000 0000 0000 0010 0000	6	Options
0000 0000 0000 0000 0000 0000 0001 0000	6	Share
0000 0000 0000 0000 0000 0000 0001 0010	7	Touch Pad Button
0000 0000 0000 0000 0000 0000 0001 0001	7	PS4/Power Button
0000 0000 0000 0000 0000 0000 0000 0010	6	R1
0000 0000 0000 0000 0000 0000 0000 1000	6	R2
0000 0000 0000 0000 0000 0000 1000 0000	6	R3
0000 0000 0000 0000 0000 0000 0000 0001	6	L1
0000 0000 0000 0000 0000 0000 0000 0100	6	L2
0000 0000 0000 0000 0000 0000 0100 0000	6	L3
0000 0000 0000 0000 0000 0000 0000 0000	5	D-Pad UP
0000 0000 0000 0000 0000 0000 0000 0100	5	D-Pad DOWN
0000 0000 0000 0000 0000 0000 0000 0010	5	D-Pad RIGHT
0000 0000 0000 0000 0000 0000 0000 0110	5	D-Pad LEFT
0000 0000 0000 0000 0000 0000 0000 1000	5	D-Pad Neutral


0000 0000 0000 0000 0000 0000 0000 0000	9	R2 Analog Value Min
0000 0000 0000 0000 0000 0000 1111 1111	8	R2 Analog Value Max
0000 0000 0000 0000 0000 0000 0000 0000	3	L2 Analog Value Min
0000 0000 0000 0000 0000 0000 1111 1111	3	L2 Analog Value Max
Note: on tested controller, R2's effective max value (trigger was pressed fully but not forced) was ~210, and ~170 for L2, R2's value quickly and gradually rising to the max from ~180 when the trigger is pressed fully and suddenly

0000 0000 0000 0000 0000 0000 0000 0000	2	Left Stick V(Min) (U)
0000 0000 0000 0000 0000 0000 1111 1111	2	Left Stick V(Max) (D)
0000 0000 0000 0000 0000 0000 0000 0000	1	Left Stick H(Min) (L)
0000 0000 0000 0000 0000 0000 1111 1111	1	Left Stick H(Max) (R)

0000 0000 0000 0000 0000 0000 0000 0000	4	Right Stick V(Min) (U)
0000 0000 0000 0000 0000 0000 1111 1111	4	Right Stick V(Max) (D)
0000 0000 0000 0000 0000 0000 0000 0000	3	Right Stick H(Min) (L)
0000 0000 0000 0000 0000 0000 1111 1111	3	Right Stick H(Max) (R)
