;Afterglow Xbox 360 Controller
;VID = 3695, 531
;Bit_Value_At_On_Position	Bit_Report_Number	Control/Meaning
0000 0000 0000 0000 0000 0000 0000 0001	10	A
0000 0000 0000 0000 0000 0000 0000 0010	10	B
0000 0000 0000 0000 0000 0000 0000 1000	10	Y
0000 0000 0000 0000 0000 0000 0000 0100	10	X
0000 0000 0000 0000 0000 0000 1000 0000	10	Start
0000 0000 0000 0000 0000 0000 0100 0000	10	Back
0000 0000 0000 0000 0000 0000 0010 0000	10	Right Bumper
0000 0000 0000 0000 0000 0000 0001 0000	10	Left Bumper
0000 0000 0000 0000 0000 0000 1000 0000	8	Right Trigger (Max)
0000 0000 0000 0000 0000 0000 0000 0000	9	Right Trigger (Max)
0000 0000 0000 0000 0000 0000 1000 0000	8	Left Trigger (Max)
0000 0000 0000 0000 0000 0000 1111 1111	9	Left Trigger (Max)
0000 0000 0000 0000 0000 0000 0000 0000	8	Both Triggers Down
0000 0000 0000 0000 0000 0000 1000 0000	9	Both Triggers Down
0000 0000 0000 0000 0000 0000 0000 0000	8	Both Triggers Neutral
0000 0000 0000 0000 0000 0000 1000 0000	9	Both Triggers Neutral
0000 0000 0000 0000 0000 0000 0000 0010	11	Right Stick Button
0000 0000 0000 0000 0000 0000 0000 0001	11	Left Stick Button
0000 0000 0000 0000 0000 0000 0000 0100	11	D-Pad Up
0000 0000 0000 0000 0000 0000 0001 0100	11	D-Pad Down
0000 0000 0000 0000 0000 0000 0001 1100	11	D-Pad Left
0000 0000 0000 0000 0000 0000 0000 1100	11	D-Pad Right
0000 0000 0000 0000 0000 0000 0000 0000	11	D-Pad Neutral

0000 0000 0000 0000 0000 0000 0000 0000	1	Left Stick Left 
0000 0000 0000 0000 0000 0000 1111 1111	1	Left Stick Right
0000 0000 0000 0000 0000 0000 0000 0000	3	Left Stick Up
0000 0000 0000 0000 0000 0000 1111 1111	3	Left Stick Down

0000 0000 0000 0000 0000 0000 0000 0000	5	Right Stick Left
0000 0000 0000 0000 0000 0000 1111 1111	5	Right Stick Right
0000 0000 0000 0000 0000 0000 0000 0000	7	Right Stick Up
0000 0000 0000 0000 0000 0000 1111 1111	7	Right Stick Down
